iter	Passed	Remaining
417	2739	3814
418	2745	3807
419	2752	3800
420	2758	3794
421	2765	3787
422	2771	3780
423	2777	3773
424	2783	3766
425	2790	3759
426	2796	3752
427	2803	3747
428	2810	3740
429	2817	3734
430	2823	3727
431	2830	3721
432	2836	3714
433	2842	3707
434	2849	3700
435	2856	3694
436	2862	3687
437	2869	3681
438	2875	3674
439	2881	3667
440	2888	3661
441	2895	3654
442	2901	3648
443	2908	3642
444	2915	3635
445	2922	3629
446	2928	3622
447	2934	3616
448	2941	3609
449	2947	3602
450	2954	3595
451	2960	3589
452	2966	3582
453	2972	3575
454	2978	3568
455	2986	3562
456	2992	3555
457	2999	3549
458	3005	3542
459	3012	3536
460	3019	3529
461	3026	3523
462	3032	3516
463	3038	3510
464	3045	3503
465	3051	3497
466	3057	3490
467	3065	3484
468	3071	3477
469	3078	3470
470	3084	3464
471	3090	3457
472	3097	3450
473	3104	3444
474	3110	3438
475	3117	3432
476	3124	3425
477	3130	3419
478	3136	3412
479	3143	3405
480	3150	3398
481	3156	3392
482	3163	3385
483	3169	3379
484	3176	3372
485	3182	3366
486	3189	3359
487	3195	3353
488	3202	3346
489	3208	3339
490	3215	3333
491	3222	3326
492	3228	3320
493	3235	3314
494	3242	3307
495	3248	3301
496	3255	3294
497	3262	3288
498	3268	3281
499	3275	3275
500	3281	3268
501	3288	3261
502	3294	3255
503	3301	3248
504	3307	3242
505	3315	3236
506	3321	3229
507	3329	3224
508	3335	3217
509	3342	3211
510	3349	3204
511	3355	3198
512	3362	3191
513	3369	3185
514	3375	3178
515	3382	3172
516	3388	3165
517	3394	3158
518	3401	3152
519	3407	3145
520	3413	3138
521	3420	3132
522	3427	3126
523	3434	3120
524	3441	3113
525	3447	3106
526	3454	3100
527	3460	3093
528	3466	3086
529	3473	3080
530	3479	3073
531	3485	3066
532	3492	3060
533	3499	3053
534	3505	3047
535	3512	3041
536	3519	3034
537	3526	3028
538	3533	3021
539	3539	3014
540	3545	3008
541	3552	3001
542	3558	2995
543	3565	2988
544	3571	2981
545	3578	2975
546	3584	2968
547	3591	2961
548	3597	2955
549	3604	2949
550	3610	2942
551	3617	2935
552	3623	2929
553	3630	2922
554	3636	2915
555	3643	2909
556	3649	2902
557	3656	2896
558	3662	2889
559	3669	2882
560	3675	2876
561	3682	2869
562	3688	2863
563	3695	2856
564	3701	2850
565	3708	2843
566	3714	2836
567	3721	2830
568	3728	2823
569	3735	2817
570	3741	2810
571	3748	2804
572	3755	2798
573	3761	2791
574	3768	2785
575	3774	2778
