iter	Logloss
0	0.6660014041
1	0.6395809857
2	0.6168637949
3	0.5965442062
4	0.577938311
5	0.5631595628
6	0.5477771711
7	0.5344270061
8	0.5240026312
9	0.5121281373
10	0.5012519147
11	0.491065897
12	0.48422296
13	0.4757451879
14	0.4689450595
15	0.4626496416
16	0.4577983449
17	0.4527623945
18	0.4473598971
19	0.443183088
20	0.4393610674
21	0.4355412789
22	0.4311822277
23	0.4275719326
24	0.4248098121
25	0.4211848474
26	0.4186735554
27	0.4163031795
28	0.4137088336
29	0.4117715208
30	0.4096754764
31	0.4076091113
32	0.4057181332
33	0.40388961
34	0.4021340656
35	0.4003002928
36	0.3989102734
37	0.3974916468
38	0.3960053562
39	0.3946471609
40	0.3935346314
41	0.3920024658
42	0.3905906592
43	0.3894440193
44	0.3881299449
45	0.3870077383
46	0.3860201511
47	0.3849378554
48	0.3840698064
49	0.3829882989
50	0.381396088
51	0.3801539915
52	0.3793619162
53	0.3775679984
54	0.3766274444
55	0.3752703343
56	0.3745483136
57	0.3732769148
58	0.3723676087
59	0.371881798
60	0.3711533282
61	0.3707056285
62	0.3701303808
63	0.3693578944
64	0.368600519
65	0.367972972
66	0.3676208833
67	0.3668290266
68	0.3661227864
69	0.3655780196
70	0.3651178986
71	0.3641220792
72	0.3632410741
73	0.3623189661
74	0.3616179344
75	0.3612503535
76	0.3602596482
77	0.3593572904
78	0.3587724873
79	0.3581088225
80	0.3574067586
81	0.3570525995
82	0.3565605128
83	0.3558511673
84	0.3554720856
85	0.3551762576
86	0.3548399407
87	0.3544139198
88	0.3537781156
89	0.3528565213
90	0.3523038994
91	0.351909832
92	0.3514873576
93	0.3512139186
94	0.3506569301
95	0.3500933746
96	0.3497956585
97	0.3494032917
98	0.3488028555
99	0.3484141768
100	0.348152955
101	0.3478796959
102	0.3475308918
103	0.347227001
104	0.3468560254
105	0.3464031713
106	0.3459715142
107	0.3456826119
108	0.3453884802
109	0.3451316367
110	0.3448670174
111	0.3444489018
112	0.3440878625
113	0.3438329297
114	0.3432159205
115	0.3429094555
116	0.3422989875
117	0.34220924
118	0.341900541
119	0.3413801712
120	0.3411612066
121	0.3409548262
122	0.3405868343
123	0.3400533432
124	0.3397682504
125	0.3395724759
126	0.3393222269
127	0.3391054932
128	0.338777496
129	0.3384706623
130	0.3380798474
131	0.3378410872
132	0.3375106704
133	0.3373461463
134	0.3371395924
135	0.336827628
136	0.3365524255
137	0.3363350402
138	0.3360859176
139	0.3358489958
140	0.335524092
141	0.335330393
142	0.3350179001
143	0.3345468922
144	0.3343943116
145	0.334179893
146	0.3339123523
147	0.33363103
148	0.3334261323
149	0.332969078
150	0.3328039273
151	0.3324196669
152	0.3322399115
153	0.3320310885
154	0.3318120842
155	0.3314245113
156	0.3312999219
157	0.3310152864
158	0.330733424
159	0.3304232824
160	0.3303949871
161	0.3301541386
162	0.330053116
163	0.329786671
164	0.3294886306
165	0.3292249108
166	0.3289545842
167	0.3286488186
168	0.32835524
169	0.3281382085
170	0.3279775009
171	0.3277778189
172	0.327525545
173	0.3272509413
174	0.3269889703
175	0.3267718182
176	0.3265628663
177	0.3264000864
178	0.3260701315
179	0.3258364968
180	0.3257311473
181	0.3254713302
182	0.3252625989
183	0.3251979967
184	0.3249515833
185	0.3247416175
186	0.3243733701
187	0.3241797254
188	0.3239506852
189	0.3238030313
190	0.3235673316
191	0.3233146506
192	0.3231855538
193	0.3229156916
194	0.3227362263
195	0.3225433431
196	0.3223368726
197	0.3222104971
198	0.3220964351
199	0.3219178486
200	0.3217763032
201	0.3214927356
202	0.3212871485
203	0.3211580851
204	0.3209799832
205	0.3208411323
206	0.3206033232
207	0.3203759522
208	0.3200974887
209	0.3199520596
210	0.3197934578
211	0.3195655286
212	0.3192730515
213	0.3190928538
214	0.3188907676
215	0.3186346087
216	0.318366016
217	0.3181025455
218	0.317829819
219	0.3175884113
220	0.3173631099
221	0.3170795713
222	0.3168604082
223	0.3167103869
224	0.3165743243
225	0.316427131
226	0.3161837063
227	0.3159512871
228	0.3158004245
229	0.3156844615
230	0.3153641431
231	0.3151846082
232	0.3148535018
233	0.3145979518
234	0.3143005277
235	0.3141271898
236	0.3139475604
237	0.3137783116
238	0.3136184637
239	0.3132935288
240	0.3130407033
241	0.3128382201
242	0.3125433395
243	0.3123834484
244	0.3121032041
245	0.3119125139
246	0.3116240465
247	0.311455111
248	0.3112432339
249	0.3110775844
250	0.3108805334
251	0.3106595949
252	0.3104408841
253	0.3102555428
254	0.3099853959
255	0.3097481744
256	0.3095644182
257	0.3093174235
258	0.3090935384
259	0.3088794179
260	0.3086705314
261	0.3084920788
262	0.3081356166
263	0.3079177746
264	0.3077220166
265	0.3075534996
266	0.3073389385
267	0.3071834839
268	0.3069730519
269	0.3067941104
270	0.3065108918
271	0.3063525334
272	0.3061747359
273	0.305937042
274	0.3057361059
275	0.3055068977
276	0.3052523307
277	0.3050260739
278	0.3048449302
279	0.3046684785
280	0.3044511868
281	0.304255824
282	0.3040357713
283	0.3038086967
284	0.3035631282
285	0.3033350244
286	0.3031715437
287	0.3029965271
288	0.3028017758
289	0.3025970391
290	0.302432623
291	0.3022417465
292	0.301996894
293	0.3018218751
294	0.3016274399
295	0.301448629
296	0.3012756874
297	0.3010583728
298	0.3008928148
299	0.3006894644
300	0.30049941
301	0.3002868215
302	0.3000886591
303	0.2998477586
304	0.2996671905
305	0.2995006188
306	0.299292083
307	0.299136374
308	0.2989351177
309	0.2987942307
310	0.2985011428
311	0.2982975462
312	0.2981155719
313	0.2979007215
314	0.2977316974
315	0.2974816661
316	0.2972789341
317	0.2970973984
318	0.2969346735
319	0.2967924256
320	0.2966538042
321	0.2964890898
322	0.2963634105
323	0.2961892805
324	0.2960054051
325	0.2957936343
326	0.2955599219
327	0.2953938192
328	0.2952132897
329	0.2951396709
330	0.2950357004
331	0.2948545357
332	0.2947177403
333	0.2944862941
334	0.2943287989
335	0.2941435708
336	0.2939626737
337	0.2938018565
338	0.2937232487
339	0.2935829264
340	0.2934979411
341	0.2933637786
342	0.2932157141
343	0.2930593786
344	0.2928977712
345	0.2927173655
346	0.2925264776
347	0.2923174647
348	0.2921785937
349	0.2919541362
350	0.2918389622
351	0.2916819068
352	0.2915427026
353	0.2913946608
354	0.2912035326
355	0.2911078359
356	0.2909738081
357	0.2907977512
358	0.2906977465
359	0.2905412232
360	0.2903912908
361	0.2902734688
362	0.2901390568
363	0.2899460954
364	0.2898666664
365	0.2896874002
366	0.2895448465
367	0.2894681489
368	0.2892759822
369	0.2890825641
370	0.2888891841
371	0.2886557042
372	0.2884981131
373	0.2883647222
374	0.2881655039
375	0.288025988
376	0.2878563514
377	0.2877809575
378	0.2875986759
379	0.2874170828
380	0.2872736583
381	0.2871593162
382	0.2869751184
383	0.2867912435
384	0.286625148
385	0.2864970001
386	0.286377282
387	0.2861699698
388	0.2860333313
389	0.285892652
390	0.2857379641
391	0.2856006644
392	0.2853814315
393	0.2852718359
394	0.2851326317
395	0.2849668878
396	0.2848240318
397	0.2846738639
398	0.2844808341
399	0.28437281
400	0.2842258956
401	0.2840563154
402	0.2838917458
403	0.2837594246
404	0.2835679186
405	0.2833838367
406	0.2832545974
407	0.28309488
408	0.282873594
409	0.2827465155
410	0.2825900148
411	0.2825161418
412	0.282352699
413	0.2821829273
414	0.2820406261
415	0.2818413993
416	0.2816471398
417	0.2815310121
418	0.2814184779
419	0.2812915156
420	0.2811961948
421	0.2809963295
422	0.2808554431
423	0.2806900723
424	0.2805779804
425	0.2804765572
426	0.280328752
427	0.2801703919
428	0.2800343166
429	0.2799052777
430	0.2797056536
431	0.2795597379
432	0.2794520924
433	0.279249266
434	0.2791082527
435	0.2790038622
436	0.278884706
437	0.2787788072
438	0.2786568716
439	0.2785187682
440	0.2784035597
441	0.2782775113
442	0.2780790587
443	0.2779743113
444	0.2777907969
445	0.2776876788
446	0.2774885549
447	0.2772813478
448	0.2771033618
449	0.2769254363
450	0.2768173588
451	0.2766886627
452	0.2765833458
453	0.2764645146
454	0.2763385206
455	0.2762379747
456	0.2761010231
457	0.2759740909
458	0.2758630584
459	0.2757644449
460	0.2756686692
461	0.275523387
462	0.2753600269
463	0.2752207998
464	0.2750637201
465	0.2749219098
466	0.2748244239
467	0.2746835078
468	0.2745498513
469	0.274372682
470	0.2743167191
471	0.274146093
472	0.2740105211
473	0.2738680371
474	0.2737072381
475	0.2735823922
476	0.2734900389
477	0.2733799824
478	0.2732829411
479	0.2731571322
480	0.2730362947
481	0.2729095164
482	0.2728096031
483	0.2727010021
484	0.2725327828
485	0.272438551
486	0.2723799438
487	0.2721657563
488	0.2720099282
489	0.2718818285
490	0.271788378
491	0.2716375138
492	0.2715152627
493	0.2714540603
494	0.2713140161
495	0.2712092598
496	0.2710871947
497	0.2709794079
498	0.2708765615
499	0.2707087999
500	0.2705919457
501	0.2704833416
502	0.2704246719
503	0.2702963496
504	0.2702257347
505	0.2701637843
506	0.2700671266
507	0.2699296004
508	0.2697975274
509	0.2696967342
510	0.2695967931
511	0.2694789623
512	0.2693219398
513	0.2691994995
514	0.2690488921
515	0.2689906244
516	0.2687924473
517	0.2687120252
518	0.2686367485
519	0.2685150593
520	0.268438119
521	0.2683393842
522	0.2682636185
523	0.2681822606
524	0.2680871212
525	0.267983631
526	0.2678521581
527	0.2677148802
528	0.267655005
529	0.2675235244
530	0.2674256175
531	0.2672893185
532	0.2672083107
533	0.2670781266
534	0.266972319
535	0.2668687644
536	0.2667202207
537	0.2665863675
538	0.2664775092
539	0.2662846848
540	0.2661381698
541	0.2659946191
542	0.2658964236
543	0.2658209527
544	0.2657416552
545	0.2656110486
546	0.2654975139
547	0.2653651361
548	0.2652047557
549	0.265087807
550	0.2649396453
551	0.2647275346
552	0.2646262687
553	0.2645515227
554	0.2644467802
555	0.2643256287
